dep,dur,mem,jour,temp,prec,pointe
5/21/2021 8:50,803,0,vendredi,25.3,0,1
5/14/2021 9:22,1846,0,vendredi,17.8,0,1
5/14/2021 8:33,1343,0,vendredi,17.8,0,1
5/21/2021 9:53,412,0,vendredi,25.3,0,1
5/7/2021 8:37,761,0,vendredi,9.7,0,1
5/7/2021 13:04,326,0,vendredi,9.7,0,3
5/7/2021 15:00,636,0,vendredi,9.7,0,3
5/14/2021 19:52,4508,0,vendredi,17.8,0,3
5/28/2021 20:38,417,0,vendredi,7.8,0,3
5/14/2021 12:52,1059,0,vendredi,17.8,0,3
5/7/2021 17:36,1561,0,vendredi,9.7,0,2
5/7/2021 18:20,937,0,vendredi,9.7,0,2
5/28/2021 18:08,492,0,vendredi,7.8,0,2
5/28/2021 17:55,1127,0,vendredi,7.8,0,2
5/14/2021 16:08,944,0,vendredi,17.8,0,2
6/25/2021 8:46,980,0,vendredi,22.2,0,1
6/25/2021 7:01,1800,0,vendredi,22.2,0,1
6/25/2021 6:43,299,0,vendredi,22.2,0,1
6/11/2021 8:50,982,0,vendredi,19.7,0.2,1
6/11/2021 8:43,999,0,vendredi,19.7,0.2,1
6/4/2021 11:07,671,0,vendredi,22,0,3
6/25/2021 19:12,594,0,vendredi,22.2,0,3
6/11/2021 23:13,312,0,vendredi,19.7,0.2,3
6/25/2021 0:34,1586,0,vendredi,22.2,0,3
6/25/2021 1:11,212,0,vendredi,22.2,0,3
6/11/2021 15:32,2113,0,vendredi,19.7,0.2,2
6/4/2021 15:11,603,0,vendredi,22,0,2
6/4/2021 17:51,959,0,vendredi,22,0,2
6/11/2021 16:52,1387,0,vendredi,19.7,0.2,2
6/18/2021 18:07,1970,0,vendredi,21.2,4.8,2
7/30/2021 9:16,375,0,vendredi,16.5,0,1
7/30/2021 8:23,943,0,vendredi,16.5,0,1
7/9/2021 6:35,137,0,vendredi,18.1,0,1
7/30/2021 8:50,333,0,vendredi,16.5,0,1
7/2/2021 7:10,464,0,vendredi,17.6,0,1
7/30/2021 10:29,1209,0,vendredi,16.5,0,3
7/2/2021 21:48,1909,0,vendredi,17.6,0,3
7/30/2021 21:06,3724,0,vendredi,16.5,0,3
7/23/2021 14:55,913,0,vendredi,21,0,3
7/30/2021 13:31,422,0,vendredi,16.5,0,3
7/2/2021 18:33,1081,0,vendredi,17.6,0,2
7/9/2021 18:43,1692,0,vendredi,18.1,0,2
7/16/2021 17:35,226,0,vendredi,22,0,2
7/16/2021 18:36,1180,0,vendredi,22,0,2
7/30/2021 15:48,643,0,vendredi,16.5,0,2
8/6/2021 9:22,334,0,vendredi,25.1,0.2,1
